time,project,user,type,url,title,body,assigned,branch,branch_link,merge,add,del
COMMIT2016-08-11T07:42:05Z,TeraCity,Eduardo Riveros Roca,commit,https://github.com/TeraCityCC4401/TeraCity/commit/af1846e2c22b30a01b053e600cad57c72fadeb81,,Merge pull request #48 from TeraCityCC4401/AST_Overlay      Merging,,master,https://github.com/TeraCityCC4401/Teracity/commits/master,False,0,0
COMMIT2016-08-11T07:34:36Z,TeraCity,Eduardo Riveros Roca,commit,https://github.com/TeraCityCC4401/TeraCity/commit/d2cb303769624a34691947f6746af8beb5897fe4,,Merging with searching,,master,https://github.com/TeraCityCC4401/Teracity/commits/master,False,0,0
COMMIT2016-08-11T06:50:00Z,TeraCity,Eduardo Riveros Roca,commit,https://github.com/TeraCityCC4401/TeraCity/commit/c01389f46eb1d62f738669033fe9473fefcb7aeb,,Optimizing building generation,,master,https://github.com/TeraCityCC4401/Teracity/commits/master,False,0,0
COMMIT2016-08-11T06:03:56Z,TeraCity,Eduardo Riveros Roca,commit,https://github.com/TeraCityCC4401/TeraCity/commit/d0feb4420a84a7169931af8bf85358879985f85e,,Merge branch 'AST_Overlay' of github.com:TeraCityCC4401/TeraCity into AST_Overlay,,master,https://github.com/TeraCityCC4401/Teracity/commits/master,True,0,0
COMMIT2016-08-11T06:03:36Z,TeraCity,Eduardo Riveros Roca,commit,https://github.com/TeraCityCC4401/TeraCity/commit/47b1494225b6f5d8d881a83bdec638a7c674423c,,Overlay Styling,,master,https://github.com/TeraCityCC4401/Teracity/commits/master,False,0,0
COMMIT2016-08-11T05:50:22Z,TeraCity,Eduardo Riveros Roca,commit,https://github.com/TeraCityCC4401/TeraCity/commit/1aaadfbeacebdd057e455ed82bb5baa9d23f4070,,fixing overlay,,master,https://github.com/TeraCityCC4401/Teracity/commits/master,False,0,0
COMMIT2016-08-11T05:28:43Z,TeraCity,Eduardo Riveros Roca,commit,https://github.com/TeraCityCC4401/TeraCity/commit/f7f4efaddb424a3450599085f5983fdb5a0426e8,,Adding cobertura metrics,,master,https://github.com/TeraCityCC4401/Teracity/commits/master,False,0,0
COMMIT2016-08-11T05:27:43Z,TeraCity,Eduardo Riveros Roca,commit,https://github.com/TeraCityCC4401/TeraCity/commit/9859b472108f47d264eb96fbb4e4f4641ec1447e,,Adding cobertura metrics,,master,https://github.com/TeraCityCC4401/Teracity/commits/master,False,0,0
COMMIT2016-08-11T04:21:11Z,TeraCity,Eduardo Riveros Roca,commit,https://github.com/TeraCityCC4401/TeraCity/commit/f4da6ade2aafb1eee1717ebf295f62045407c19f,,Checking Cobertura Metrics,,master,https://github.com/TeraCityCC4401/Teracity/commits/master,False,0,0
COMMIT2016-08-11T03:49:25Z,TeraCity,Eduardo Riveros Roca,commit,https://github.com/TeraCityCC4401/TeraCity/commit/3adf558900a04c5a292897ccff9a99ce3ce35d6f,,Adding AST metrics to metrics overlay,,master,https://github.com/TeraCityCC4401/Teracity/commits/master,False,0,0
COMMIT2016-08-11T03:07:21Z,TeraCity,Eduardo Riveros Roca,commit,https://github.com/TeraCityCC4401/TeraCity/commit/af5ec8df131dc9e6053dd80c1ea94e94add81712,,Starting merging of everything,,master,https://github.com/TeraCityCC4401/Teracity/commits/master,False,0,0
COMMIT2016-08-11T02:24:14Z,TeraCity,Eduardo Riveros Roca,commit,https://github.com/TeraCityCC4401/TeraCity/commit/fe62f564c28eacf9a290a78e6386ba1885dcf6c5,,Merge branch 'RU04_Code_Metrics' of github.com:TeraCityCC4401/TeraCity into AST_Overlay,,master,https://github.com/TeraCityCC4401/Teracity/commits/master,True,0,0
COMMIT2016-08-11T02:17:59Z,TeraCity,Eduardo Riveros Roca,commit,https://github.com/TeraCityCC4401/TeraCity/commit/65fda906e3d5844150b35d6715bd2b1f5fc33c4a,,Fixing overlay AST metricsview,,master,https://github.com/TeraCityCC4401/Teracity/commits/master,False,0,0
COMMIT2016-08-11T02:17:55Z,TeraCity,Eduardo Riveros Roca,commit,https://github.com/TeraCityCC4401/TeraCity/commit/2003f5d9d145a088c6d8d742bc6d0f18ec861337,,Fixing overlay AST metricsview,,master,https://github.com/TeraCityCC4401/Teracity/commits/master,False,0,0
COMMIT2016-08-09T21:39:15Z,TeraCity,Eduardo Riveros Roca,commit,https://github.com/TeraCityCC4401/TeraCity/commit/d12efa04230df2c24753a974c97db57b16963a2a,,Merge branch 'RU04_Code_Metrics' of github.com:TeraCityCC4401/TeraCity into AST_Overlay      Conflicts:   	modules/WorldCodecity/src/main/java/org/terasology/codecity/world/metrics/AST.java   	modules/WorldCodecity/src/main/java/org/terasology/codecity/world/structure/CodeClass.java,,master,https://github.com/TeraCityCC4401/Teracity/commits/master,True,0,0
COMMIT2016-08-09T16:36:17Z,TeraCity,Eduardo Riveros Roca,commit,https://github.com/TeraCityCC4401/TeraCity/commit/8ef1099c93d6d2e78d12ea9561286fcd3b5c032d,,Modifying jEdit,,master,https://github.com/TeraCityCC4401/Teracity/commits/master,False,0,0
COMMIT2016-06-07T03:57:47Z,TeraCity,Eduardo Riveros Roca,commit,https://github.com/TeraCityCC4401/TeraCity/commit/25ba6cba6d7b4eda3b8efeeb97d3a78406f072bd,,Arreglado,,reference_search,https://github.com/TeraCityCC4401/Teracity/commits/reference_search,False,0,0
